Gene,Category,Sparsity_pct,PCC_Poisson,PCC_MSE,Delta_PCC,SSIM_Poisson,SSIM_MSE,Delta_SSIM,Poisson_Wins
IGKC,Immune,89.2788,0.1794,0.2231,-0.0436,0.8953,0.8446,0.0507,0
MT-ATP6,Mitochondrial,72.9393,0.5085,0.5237,-0.0151,0.2732,0.2133,0.0599,0
MT-ND4,Mitochondrial,73.2542,0.4766,0.5045,-0.0279,0.2596,0.2021,0.0574,0
MT-CO3,Mitochondrial,74.5835,0.4780,0.4825,-0.0045,0.2932,0.2136,0.0797,0
MT-CO2,Mitochondrial,77.8424,0.4648,0.4772,-0.0124,0.3521,0.1924,0.1597,0
MT-CYB,Mitochondrial,77.9317,0.4752,0.4802,-0.0049,0.3141,0.2108,0.1033,0
TMSB4X,Housekeeping,86.6748,0.2785,0.2613,0.0172,0.3512,0.2142,0.1371,1
MT-ND3,Mitochondrial,84.7690,0.4238,0.2715,0.1523,0.4105,0.1643,0.2462,1
MT-ND4L,Mitochondrial,87.1970,0.3987,0.3397,0.0590,0.4908,0.1457,0.3451,1
IGHG1,Immune,96.3481,0.1396,0.1226,0.0170,0.9007,0.7889,0.1117,1
MT-ND2,Mitochondrial,89.1893,0.3435,0.2723,0.0712,0.5358,0.1337,0.4022,1
FTH1,Other,94.9116,0.0999,0.0832,0.0167,0.4433,0.1591,0.2842,1
CEACAM5,Epithelial,94.2469,0.2713,0.0751,0.1962,0.8043,0.1054,0.6989,1
PIGR,Secretory,92.1037,0.3368,0.2986,0.0381,0.6760,0.1020,0.5740,1
ACTB,Housekeeping,94.2422,0.0977,-0.0034,0.1011,0.3936,0.1658,0.2278,1
TMSB10,Housekeeping,93.5788,0.1920,0.0952,0.0969,0.5781,0.1694,0.4086,1
COL3A1,Stromal,95.2566,0.2103,0.1340,0.0762,0.3797,0.3064,0.0733,1
MUC12,Secretory,95.2900,0.3275,0.2120,0.1155,0.7278,0.0959,0.6319,1
CEACAM6,Epithelial,97.2597,0.1573,0.0916,0.0657,0.7633,0.1042,0.6592,1
JCHAIN,Immune,96.6419,0.3004,0.1272,0.1732,0.8519,0.3933,0.4586,1
EPCAM,Epithelial,94.9425,0.2393,0.0402,0.1991,0.7823,0.0985,0.6838,1
LCN2,Other,95.1630,0.1001,0.0316,0.0685,0.6855,0.0953,0.5902,1
COL1A1,Stromal,97.2088,0.2085,0.1144,0.0941,0.3428,0.2217,0.1211,1
MT-ND1,Mitochondrial,94.8275,0.1794,0.1084,0.0710,0.6305,0.1341,0.4964,1
VIM,Stromal,95.2153,0.1781,0.0219,0.1562,0.3859,0.2058,0.1801,1
B2M,Housekeeping,95.4352,0.1174,0.0127,0.1047,0.5105,0.1653,0.3452,1
OAZ1,Other,96.5000,0.1244,0.0074,0.1170,0.5529,0.1257,0.4272,1
PHGR1,Other,95.8649,0.1672,0.0509,0.1162,0.7669,0.1024,0.6646,1
S100A6,Other,95.5344,0.2091,0.0368,0.1724,0.5906,0.1441,0.4465,1
FTL,Other,96.6300,0.1565,-0.0141,0.1706,0.5919,0.1402,0.4518,1
KRT8,Epithelial,96.8240,0.1975,0.0323,0.1652,0.7689,0.0956,0.6734,1
EEF1G,Other,97.7580,0.0981,-0.0225,0.1206,0.7006,0.1141,0.5865,1
PYGB,Other,98.7339,0.0518,0.0171,0.0347,0.7838,0.1070,0.6768,1
IGHA1,Immune,97.9858,0.1989,-0.0406,0.2395,0.9158,0.5826,0.3332,1
TSPAN8,Other,96.1610,0.2316,0.0820,0.1496,0.8323,0.1027,0.7295,1
S100A10,Other,97.7310,0.1095,0.0012,0.1083,0.7832,0.1225,0.6607,1
CD24,Other,97.4848,0.1525,-0.0000,0.1526,0.7764,0.0931,0.6832,1
CST3,Other,96.6700,0.1205,0.0241,0.0963,0.6465,0.1394,0.5071,1
IGHM,Other,99.1192,0.0873,0.0261,0.0612,0.8231,0.3164,0.5067,1
COL1A2,Stromal,97.8854,0.1685,0.0705,0.0980,0.3301,0.1986,0.1315,1
TAGLN,Other,96.7570,0.1894,0.0549,0.1345,0.3372,0.1948,0.1424,1
DES,Stromal,96.1404,0.2568,0.0796,0.1772,0.3323,0.1972,0.1351,1
OLFM4,Other,97.1353,0.1456,0.1367,0.0089,0.7850,0.1068,0.6782,1
MT-ND5,Mitochondrial,96.3242,0.1696,0.0389,0.1307,0.6610,0.1443,0.5167,1
CFL1,Other,97.9888,0.0918,0.0027,0.0891,0.6729,0.1018,0.5711,1
SYNGR2,Other,98.6269,0.0473,-0.0037,0.0510,0.6893,0.0960,0.5932,1
HSPA8,Other,98.2788,0.1101,0.0108,0.0993,0.7295,0.1137,0.6158,1
CD74,Immune,97.7770,0.1258,0.0101,0.1157,0.6519,0.2347,0.4171,1
FCGBP,Secretory,97.2594,0.2840,0.1599,0.1241,0.7130,0.1131,0.5999,1
LGALS3,Other,98.0295,0.1451,0.0331,0.1120,0.7876,0.1011,0.6866,1
